"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Grays Harbor","City of Elma City of Elma Proposition 1 Levy to Partially Fund Police Services for 2018 (City of Elma Resolution No. 634)","Yes","","326","82.5316","City/Town"
"Grays Harbor","City of Elma City of Elma Proposition 1 Levy to Partially Fund Police Services for 2018 (City of Elma Resolution No. 634)","No","","69","17.4684","City/Town"
"Grays Harbor","City of McCleary Mayor","Jared Berken","","58","20.5674","City/Town"
"Grays Harbor","City of McCleary Mayor","Donald Gary Dent","","43","15.2482","City/Town"
"Grays Harbor","City of McCleary Mayor","Brent Schiller","","181","64.1844","City/Town"
"Grays Harbor","City of McCleary Position 3","Jaron Heller","","119","47.6","City/Town"
"Grays Harbor","City of McCleary Position 3","Eric J. Hart","","86","34.4","City/Town"
"Grays Harbor","City of McCleary Position 3","Odd DeBakker ","","45","18","City/Town"
"Grays Harbor","City of Ocean Shores Position 1","Susan Conniry","","814","47.0248","City/Town"
"Grays Harbor","City of Ocean Shores Position 1","John Lynn","","640","36.9728","City/Town"
"Grays Harbor","City of Ocean Shores Position 1","Michael Darling","","277","16.0023","City/Town"
"Grays Harbor","City of Ocean Shores Position 3","Shannon Rubin","","566","33.3726","City/Town"
"Grays Harbor","City of Ocean Shores Position 3","Jackie Farra","","227","13.3844","City/Town"
"Grays Harbor","City of Ocean Shores Position 3","John Schroeder","","351","20.6958","City/Town"
"Grays Harbor","City of Ocean Shores Position 3","Lisa Griebel","","552","32.5472","City/Town"
"Grays Harbor","City of Ocean Shores  Position 5","Steve Ensley","","859","52.5382","City/Town"
"Grays Harbor","City of Ocean Shores  Position 5","Will Oaks","","215","13.1498","City/Town"
"Grays Harbor","City of Ocean Shores  Position 5","Randy D. Scott","","561","34.3119","City/Town"
"Grays Harbor","City of Westport South Beach Regional Fire Authority Creation of the South Beach Regional Fire Authority","Yes","","394","78.8","City/Town"
"Grays Harbor","City of Westport South Beach Regional Fire Authority Creation of the South Beach Regional Fire Authority","No","","106","21.2","City/Town"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 1","Devin Backholm","","773","39.1789","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 1","Anna Stone","","329","16.6751","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 1","Jennifer Durney","","871","44.146","School"
"Grays Harbor","Sch Dist 99 -Cosmopolis School 99 Director District 1","Mark Collett","","61","19.3651","School"
"Grays Harbor","Sch Dist 99 -Cosmopolis School 99 Director District 1","Tina Miles","","128","40.6349","School"
"Grays Harbor","Sch Dist 99 -Cosmopolis School 99 Director District 1","Barbie Smith","","126","40","School"
